CRIM ZN INDUS CHAS NOX RM AGE DIS RAD TAX PT_RATIO LSTAT MEDV
0.35 0 7.38 0 0.49 6.04 49.9 4.72 5 287 19.6 7.7 20.4
0.28 0 7.38 0 0.49 5.71 74.3 4.72 5 287 19.6 11.74 18.5
0.34 0 7.38 0 0.49 6.42 40.1 4.72 5 287 19.6 6.12 25
0.19 0 7.38 0 0.49 6.43 14.7 5.42 5 287 19.6 5.08 24.6
0.3 0 7.38 0 0.49 6.31 28.9 5.42 5 287 19.6 6.15 23
0.24 0 7.38 0 0.49 6.08 43.7 5.42 5 287 19.6 12.79 22.2
0.07 0 3.24 0 0.46 5.87 25.8 5.21 4 430 16.9 9.97 19.3
0.07 0 3.24 0 0.46 6.33 17.2 5.21 4 430 16.9 7.34 22.6
0.05 0 3.24 0 0.46 6.14 32.2 5.87 4 430 16.9 9.09 19.8
0.05 35 6.06 0 0.44 5.71 28.4 6.64 1 304 16.9 12.43 17.1
0.03 35 6.06 0 0.44 6.03 23.3 6.64 1 304 16.9 7.83 19.4
0.05 0 5.19 0 0.52 6.32 38.1 6.46 5 224 20.2 5.68 22.2
0.04 0 5.19 0 0.52 6.31 38.5 6.46 5 224 20.2 6.75 20.7
0.04 0 5.19 0 0.52 6.04 34.5 5.99 5 224 20.2 8.01 21.1
0.03 0 5.19 0 0.52 5.87 46.3 5.23 5 224 20.2 9.8 19.5
0.03 0 5.19 0 0.52 5.9 59.6 5.62 5 224 20.2 10.56 18.5
0.03 0 5.19 0 0.52 6.06 37.3 4.81 5 224 20.2 8.51 20.6
0.05 0 5.19 0 0.52 5.99 45.4 4.81 5 224 20.2 9.74 19
0.06 0 5.19 0 0.52 5.97 58.5 4.81 5 224 20.2 9.29 18.7
0.01 35 1.52 0 0.44 7.24 49.3 7.04 1 284 15.5 5.49 32.7
0.02 0 1.89 0 0.52 6.54 59.7 6.27 1 422 15.9 8.65 16.5
0.03 55 3.78 0 0.48 6.7 56.4 5.73 5 370 17.6 7.18 23.9
0.03 55 3.78 0 0.48 6.87 28.1 6.47 5 370 17.6 4.61 31.2
0.03 0 4.39 0 0.44 6.01 48.5 8.01 3 352 18.8 10.53 17.5
0.06 0 4.39 0 0.44 5.9 52.3 8.01 3 352 18.8 12.67 17.2
0.02 85 4.15 0 0.43 6.52 27.7 8.54 4 351 17.9 6.36 23.1
0.02 80 2.01 0 0.44 6.64 29.7 8.34 4 280 17 5.99 24.5
0.03 40 1.25 0 0.43 6.94 34.5 8.79 1 335 19.7 5.89 26.6
0.06 40 1.25 0 0.43 6.49 44.4 8.79 1 335 19.7 5.98 22.9
0.08 60 1.69 0 0.41 6.58 35.9 10.71 4 411 18.3 5.49 24.1
0.07 60 1.69 0 0.41 5.88 18.5 10.71 4 411 18.3 7.79 18.6
0.02 90 2.02 0 0.41 6.73 36.1 12.13 5 187 17 4.5 30.1
0.04 80 1.91 0 0.41 5.66 21.9 10.59 4 334 22 8.05 18.2
0.11 80 1.91 0 0.41 5.94 19.5 10.59 4 334 22 5.57 20.6
8.98 0 18.1 1 0.77 6.21 97.4 2.12 10 666 20.2 17.6 17.8
3.85 0 18.1 1 0.77 6.4 91 2.51 10 666 20.2 13.27 21.7
5.2 0 18.1 1 0.77 6.13 83.4 2.72 10 666 20.2 11.48 22.7
4.26 0 18.1 0 0.77 6.11 81.3 2.51 10 666 20.2 12.67 22.6
4.54 0 18.1 0 0.77 6.4 88 2.52 10 666 20.2 7.79 25
3.84 0 18.1 0 0.77 6.25 91.1 2.3 10 666 20.2 14.19 19.9
3.68 0 18.1 0 0.77 5.36 96.2 2.1 10 666 20.2 10.19 20.8
4.22 0 18.1 1 0.77 5.8 89 1.9 10 666 20.2 14.64 16.8
3.47 0 18.1 1 0.72 8.78 82.9 1.9 10 666 20.2 5.29 21.9
4.56 0 18.1 0 0.72 3.56 87.9 1.61 10 666 20.2 7.12 27.5
3.7 0 18.1 0 0.72 4.96 91.4 1.75 10 666 20.2 14 21.9
13.52 0 18.1 0 0.63 3.86 100 1.51 10 666 20.2 13.33 23.1
4.9 0 18.1 0 0.63 4.97 100 1.33 10 666 20.2 3.26 50
5.67 0 18.1 1 0.63 6.68 96.8 1.36 10 666 20.2 3.73 50
6.54 0 18.1 1 0.63 7.02 97.5 1.2 10 666 20.2 2.96 50
9.23 0 18.1 0 0.63 6.22 100 1.17 10 666 20.2 9.53 50
8.27 0 18.1 1 0.67 5.88 89.6 1.13 10 666 20.2 8.88 50
11.11 0 18.1 0 0.67 4.91 100 1.17 10 666 20.2 34.77 13.8
18.5 0 18.1 0 0.67 4.14 100 1.14 10 666 20.2 37.97 13.8
19.61 0 18.1 0 0.67 7.31 97.9 1.32 10 666 20.2 13.44 15
15.29 0 18.1 0 0.67 6.65 93.3 1.34 10 666 20.2 23.24 13.9
9.82 0 18.1 0 0.67 6.79 98.8 1.36 10 666 20.2 21.24 13.3
23.65 0 18.1 0 0.67 6.38 96.2 1.39 10 666 20.2 23.69 13.1
17.87 0 18.1 0 0.67 6.22 100 1.39 10 666 20.2 21.78 10.2
88.98 0 18.1 0 0.67 6.97 91.9 1.42 10 666 20.2 17.21 10.4
15.87 0 18.1 0 0.67 6.55 99.1 1.52 10 666 20.2 21.08 10.9
9.19 0 18.1 0 0.7 5.54 100 1.58 10 666 20.2 23.6 11.3
7.99 0 18.1 0 0.7 5.52 100 1.53 10 666 20.2 24.56 12.3
20.08 0 18.1 0 0.7 4.37 91.2 1.44 10 666 20.2 30.63 8.8
16.81 0 18.1 0 0.7 5.28 98.1 1.43 10 666 20.2 30.81 7.2
24.39 0 18.1 0 0.7 4.65 100 1.47 10 666 20.2 28.28 10.5
22.6 0 18.1 0 0.7 5 89.5 1.52 10 666 20.2 31.99 7.4
14.33 0 18.1 0 0.7 4.88 100 1.59 10 666 20.2 30.62 10.2
8.15 0 18.1 0 0.7 5.39 98.9 1.73 10 666 20.2 20.85 11.5
6.96 0 18.1 0 0.7 5.71 97 1.93 10 666 20.2 17.11 15.1
5.29 0 18.1 0 0.7 6.05 82.5 2.17 10 666 20.2 18.76 23.2
11.58 0 18.1 0 0.7 5.04 97 1.77 10 666 20.2 25.68 9.7
8.64 0 18.1 0 0.69 6.19 92.6 1.79 10 666 20.2 15.17 13.8
13.36 0 18.1 0 0.69 5.89 94.7 1.78 10 666 20.2 16.35 12.7
8.72 0 18.1 0 0.69 6.47 98.8 1.73 10 666 20.2 17.12 13.1
5.87 0 18.1 0 0.69 6.41 96 1.68 10 666 20.2 19.37 12.5
7.67 0 18.1 0 0.69 5.75 98.9 1.63 10 666 20.2 19.92 8.5
38.35 0 18.1 0 0.69 5.45 100 1.49 10 666 20.2 30.59 5
9.92 0 18.1 0 0.69 5.85 77.8 1.5 10 666 20.2 29.97 6.3
25.05 0 18.1 0 0.69 5.99 100 1.59 10 666 20.2 26.77 5.6
14.24 0 18.1 0 0.69 6.34 100 1.57 10 666 20.2 20.32 7.2
9.6 0 18.1 0 0.69 6.4 100 1.64 10 666 20.2 20.31 12.1
24.8 0 18.1 0 0.69 5.35 96 1.7 10 666 20.2 19.77 8.3
41.53 0 18.1 0 0.69 5.53 85.4 1.61 10 666 20.2 27.38 8.5
67.92 0 18.1 0 0.69 5.68 100 1.43 10 666 20.2 22.98 5
20.72 0 18.1 0 0.66 4.14 100 1.18 10 666 20.2 23.34 11.9
11.95 0 18.1 0 0.66 5.61 100 1.29 10 666 20.2 12.13 27.9
7.4 0 18.1 0 0.6 5.62 97.9 1.45 10 666 20.2 26.4 17.2
14.44 0 18.1 0 0.6 6.85 100 1.47 10 666 20.2 19.78 27.5
51.14 0 18.1 0 0.6 5.76 100 1.41 10 666 20.2 10.11 15
14.05 0 18.1 0 0.6 6.66 100 1.53 10 666 20.2 21.22 17.2
18.81 0 18.1 0 0.6 4.63 100 1.55 10 666 20.2 34.37 17.9
28.66 0 18.1 0 0.6 5.16 100 1.59 10 666 20.2 20.08 16.3
45.75 0 18.1 0 0.69 4.52 100 1.66 10 666 20.2 36.98 7
18.08 0 18.1 0 0.68 6.43 100 1.83 10 666 20.2 29.05 7.2
10.83 0 18.1 0 0.68 6.78 90.8 1.82 10 666 20.2 25.79 7.5
25.94 0 18.1 0 0.68 5.3 89.1 1.65 10 666 20.2 26.64 10.4
73.53 0 18.1 0 0.68 5.96 100 1.8 10 666 20.2 20.62 8.8
11.81 0 18.1 0 0.72 6.82 76.5 1.79 10 666 20.2 22.74 8.4
11.09 0 18.1 0 0.72 6.41 100 1.86 10 666 20.2 15.02 16.7
7.02 0 18.1 0 0.72 6.01 95.3 1.87 10 666 20.2 15.7 14.2
12.05 0 18.1 0 0.61 5.65 87.6 1.95 10 666 20.2 14.1 20.8
7.05 0 18.1 0 0.61 6.1 85.1 2.02 10 666 20.2 23.29 13.4
8.79 0 18.1 0 0.58 5.57 70.6 2.06 10 666 20.2 17.16 11.7
15.86 0 18.1 0 0.68 5.9 95.4 1.91 10 666 20.2 24.39 8.3
12.25 0 18.1 0 0.58 5.84 59.7 2 10 666 20.2 15.69 10.2
37.66 0 18.1 0 0.68 6.2 78.7 1.86 10 666 20.2 14.52 10.9
7.37 0 18.1 0 0.68 6.19 78.1 1.94 10 666 20.2 21.52 11
9.34 0 18.1 0 0.68 6.38 95.6 1.97 10 666 20.2 24.08 9.5
8.49 0 18.1 0 0.58 6.35 86.1 2.05 10 666 20.2 17.64 14.5
10.06 0 18.1 0 0.58 6.83 94.3 2.09 10 666 20.2 19.69 14.1
6.44 0 18.1 0 0.58 6.43 74.8 2.2 10 666 20.2 12.03 16.1
5.58 0 18.1 0 0.71 6.44 87.9 2.32 10 666 20.2 16.22 14.3
13.91 0 18.1 0 0.71 6.21 95 2.22 10 666 20.2 15.17 11.7
11.16 0 18.1 0 0.74 6.63 94.6 2.12 10 666 20.2 23.27 13.4
14.42 0 18.1 0 0.74 6.46 93.3 2 10 666 20.2 18.05 9.6
15.18 0 18.1 0 0.74 6.15 100 1.91 10 666 20.2 26.45 8.7
13.68 0 18.1 0 0.74 5.94 87.9 1.82 10 666 20.2 34.02 8.4
9.39 0 18.1 0 0.74 5.63 93.9 1.82 10 666 20.2 22.88 12.8
22.05 0 18.1 0 0.74 5.82 92.4 1.87 10 666 20.2 22.11 10.5
9.72 0 18.1 0 0.74 6.41 97.2 2.07 10 666 20.2 19.52 17.1
5.67 0 18.1 0 0.74 6.22 100 2 10 666 20.2 16.59 18.4
9.97 0 18.1 0 0.74 6.49 100 1.98 10 666 20.2 18.85 15.4
12.8 0 18.1 0 0.74 5.85 96.6 1.9 10 666 20.2 23.79 10.8
10.67 0 18.1 0 0.74 6.46 94.8 1.99 10 666 20.2 23.98 11.8
6.29 0 18.1 0 0.74 6.34 96.4 2.07 10 666 20.2 17.79 14.9
9.92 0 18.1 0 0.74 6.25 96.6 2.2 10 666 20.2 16.44 12.6
9.33 0 18.1 0 0.71 6.19 98.7 2.26 10 666 20.2 18.13 14.1
7.53 0 18.1 0 0.71 6.42 98.3 2.19 10 666 20.2 19.31 13
6.72 0 18.1 0 0.71 6.75 92.6 2.32 10 666 20.2 17.44 13.4
5.44 0 18.1 0 0.71 6.66 98.2 2.36 10 666 20.2 17.73 15.2
5.09 0 18.1 0 0.71 6.3 91.8 2.37 10 666 20.2 17.27 16.1
8.25 0 18.1 0 0.71 7.39 99.3 2.45 10 666 20.2 16.74 17.8
9.51 0 18.1 0 0.71 6.73 94.1 2.5 10 666 20.2 18.71 14.9
4.75 0 18.1 0 0.71 6.53 86.5 2.44 10 666 20.2 18.13 14.1
4.67 0 18.1 0 0.71 5.98 87.9 2.58 10 666 20.2 19.01 12.7
8.2 0 18.1 0 0.71 5.94 80.3 2.78 10 666 20.2 16.94 13.5
7.75 0 18.1 0 0.71 6.3 83.7 2.78 10 666 20.2 16.23 14.9
6.8 0 18.1 0 0.71 6.08 84.4 2.72 10 666 20.2 14.7 20
4.81 0 18.1 0 0.71 6.7 90 2.6 10 666 20.2 16.42 16.4
3.69 0 18.1 0 0.71 6.38 88.4 2.57 10 666 20.2 14.65 17.7
6.65 0 18.1 0 0.71 6.32 83 2.73 10 666 20.2 13.99 19.5
5.82 0 18.1 0 0.71 6.51 89.9 2.8 10 666 20.2 10.29 20.2
7.84 0 18.1 0 0.66 6.21 65.4 2.96 10 666 20.2 13.22 21.4
3.16 0 18.1 0 0.66 5.76 48.2 3.07 10 666 20.2 14.13 19.9
3.77 0 18.1 0 0.66 5.95 84.7 2.87 10 666 20.2 17.15 19
4.42 0 18.1 0 0.58 6 94.5 2.54 10 666 20.2 21.32 19.1
15.58 0 18.1 0 0.58 5.93 71 2.91 10 666 20.2 18.13 19.1
13.08 0 18.1 0 0.58 5.71 56.7 2.82 10 666 20.2 14.76 20.1
4.35 0 18.1 0 0.58 6.17 84 3.03 10 666 20.2 16.29 19.9
4.04 0 18.1 0 0.53 6.23 90.7 3.1 10 666 20.2 12.87 19.6
3.57 0 18.1 0 0.58 6.44 75 2.9 10 666 20.2 14.36 23.2
4.65 0 18.1 0 0.61 6.98 67.6 2.53 10 666 20.2 11.66 29.8
8.06 0 18.1 0 0.58 5.43 95.4 2.43 10 666 20.2 18.14 13.8
6.39 0 18.1 0 0.58 6.16 97.4 2.21 10 666 20.2 24.1 13.3
4.87 0 18.1 0 0.61 6.48 93.6 2.31 10 666 20.2 18.68 16.7
15.02 0 18.1 0 0.61 5.3 97.3 2.1 10 666 20.2 24.91 12
10.23 0 18.1 0 0.61 6.19 96.7 2.17 10 666 20.2 18.03 14.6
14.33 0 18.1 0 0.61 6.23 88 1.95 10 666 20.2 13.11 21.4
5.82 0 18.1 0 0.53 6.24 64.7 3.42 10 666 20.2 10.74 23
5.71 0 18.1 0 0.53 6.75 74.9 3.33 10 666 20.2 7.74 23.7
5.73 0 18.1 0 0.53 7.06 77 3.41 10 666 20.2 7.01 25
2.82 0 18.1 0 0.53 5.76 40.3 4.1 10 666 20.2 10.42 21.8
2.38 0 18.1 0 0.58 5.87 41.9 3.72 10 666 20.2 13.34 20.6
3.67 0 18.1 0 0.58 6.31 51.9 3.99 10 666 20.2 10.58 21.2
5.69 0 18.1 0 0.58 6.11 79.8 3.55 10 666 20.2 14.98 19.1
4.84 0 18.1 0 0.58 5.91 53.2 3.15 10 666 20.2 11.45 20.6
0.15 0 27.74 0 0.61 5.45 92.7 1.82 4 711 20.1 18.06 15.2
0.18 0 27.74 0 0.61 5.41 98.3 1.76 4 711 20.1 23.97 7
0.21 0 27.74 0 0.61 5.09 98 1.82 4 711 20.1 29.68 8.1
0.11 0 27.74 0 0.61 5.98 98.8 1.87 4 711 20.1 18.07 13.6
0.11 0 27.74 0 0.61 5.98 83.5 2.11 4 711 20.1 13.35 20.1
0.17 0 9.69 0 0.59 5.71 54 2.38 6 391 19.2 12.01 21.8
0.28 0 9.69 0 0.59 5.93 42.6 2.38 6 391 19.2 13.59 24.5
0.18 0 9.69 0 0.59 5.67 28.8 2.8 6 391 19.2 17.6 23.1
0.29 0 9.69 0 0.59 5.39 72.9 2.8 6 391 19.2 21.14 19.7
0.27 0 9.69 0 0.59 5.79 70.6 2.89 6 391 19.2 14.1 18.3
0.24 0 9.69 0 0.59 6.02 65.3 2.41 6 391 19.2 12.92 21.2
0.18 0 9.69 0 0.59 5.57 73.5 2.4 6 391 19.2 15.1 17.5
0.22 0 9.69 0 0.59 6.03 79.7 2.5 6 391 19.2 14.33 16.8
0.06 0 11.93 0 0.57 6.59 69.1 2.48 1 273 21 9.67 22.4
0.05 0 11.93 0 0.57 6.12 76.7 2.29 1 273 21 9.08 20.6
0.06 0 11.93 0 0.57 6.98 91 2.17 1 273 21 5.64 23.9
0.11 0 11.93 0 0.57 6.79 89.3 2.39 1 273 21 6.48 22
0.05 0 11.93 0 0.57 6.03 80.8 2.51 1 273 21 7.88 11.9
